image,count
datasets\frames_1\0\neg\BEDLUS_003_011_000.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_001.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_002.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_003.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_004.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_005.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_006.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_007.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_008.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_009.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_010.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_011.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_012.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_013.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_014.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_015.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_016.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_017.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_018.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_019.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_020.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_021.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_022.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_023.tiff,5
datasets\frames_1\0\neg\BEDLUS_003_011_024.tiff,7
datasets\frames_1\0\neg\BEDLUS_003_011_025.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_026.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_027.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_028.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_029.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_030.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_031.tiff,6
datasets\frames_1\0\neg\BEDLUS_003_011_032.tiff,3
datasets\frames_1\0\neg\BEDLUS_003_011_033.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_034.tiff,4
datasets\frames_1\0\neg\BEDLUS_003_011_035.tiff,2
datasets\frames_1\0\neg\BEDLUS_003_011_036.tiff,1
datasets\frames_1\0\neg\BEDLUS_003_011_037.tiff,5
