image,count
datasets\frames_1\1\neg\BEDLUS_001_002_000.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_001.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_002.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_004.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_006.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_007.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_009.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_010.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_011.tiff,3
datasets\frames_1\1\neg\BEDLUS_001_002_012.tiff,3
datasets\frames_1\1\neg\BEDLUS_001_002_013.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_014.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_016.tiff,3
datasets\frames_1\1\neg\BEDLUS_001_002_018.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_019.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_021.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_023.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_024.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_025.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_026.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_028.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_029.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_030.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_031.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_032.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_033.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_034.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_036.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_040.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_041.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_042.tiff,3
datasets\frames_1\1\neg\BEDLUS_001_002_044.tiff,3
datasets\frames_1\1\neg\BEDLUS_001_002_045.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_046.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_047.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_048.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_049.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_050.tiff,1
datasets\frames_1\1\neg\BEDLUS_001_002_055.tiff,2
datasets\frames_1\1\neg\BEDLUS_001_002_056.tiff,1
